PMID	Journal Title	#sentences	#not highlighted	#highlights	Paper Title
20109475	Neuropsychologia	218	196	22	./anns_v2/Yakushev et al., (2010) - Increased hippocampal head diffusivity predicts impaired episodic memory performance in early AD_annotated_ann.json
22777857	Ann Nucl Med	329	313	16	./anns_v2/Yoon et al., (2012) - Correlation between neuropsychological tests and hypoperfusion in MCI_annotated_ann.json
22692580	Nucl Med Commun	194	178	16	./anns_v2/Yoon et al., (2012) - Significant correlation between cerebral hypoperfusion and neuropsychological assessment scores of patients with MCI_annotated_ann.json
25511330	Parkinsonism Relat Disord	217	208	9	./anns_v2/Yao et al., (2015) - Resting activity in visual and corticostriatal pathways in PD with hallucinations_annotated_ann.json
24593247	J Neuroimaging	153	152	1	./anns_v2/Yamashita et al., (2014) - Cerebral blood flow reduction associated with orientation for time in AD_annotated_ann.json
15598550	Psychiatry Res	220	209	11	./anns_v2/Zahn et al., (2004) - Hemispheric asymmetries of hypometabolism associated with semantic memory impairment in AD_annotated_ann.json
15929035	Ann Neurol	165	155	10	./anns_v2/Zarow et al., (2005) - Correlates of Hippocampal neuron number in AD and ischemic vascular dementia_annotated_ann.json
27661438	Epilepsy Res	143	143	0	./anns_v2/Zhang et al., (2009) - Impaired attention network in temporal lobe epilepsy_annotated_ann.json
25465747	Parkinsonism Relat Disord	155	140	15	./anns_v2/Zhang et al., (2015) - Akinetic-rigid and tremor-dominant PD patients show different patterns of instrinsic brain activity_annotated_ann.json
27459924	Neurobiol Aging	184	169	15	./anns_v2/Zhang et al., (2016) - Enhanced resting-state FC between core memory task activation peaks is associated with memory impairment in MCI_annotated_ann.json
19020671	Alzheimers Dement	218	218	0	./anns_v2/Zheng et al., (2014) - ED and GM atrophy in amnestic MCI_annotated_ann.json
23417856	Hum Brain Mapp	128	120	8	./anns_v2/Zheng et al., (2014) - DTI correlates of distinct cognitive impairments in PD_annotated_ann.json
16784724	Brain Res	258	254	4	./anns_v2/Zhou et al., (2006) - Neural substrates for forward and backward recitation of numbers._annotated_ann.json
26842545	Parkinsonism Relat Disord	172	148	24	./anns_v2/Zhou et al., (2016) - Substantia nigra echohenicity correlated with clinical features of PD_annotated_ann.json
